#compiler;opt;program;seed;length;work;energy(J);time(s)
clang++;-O2;bitset;53;1024;g;100.23;3.236806046
clang++;-O2;bitset;54;1024;g;100.58;3.253371406
clang++;-O2;bitset;55;1024;g;100.37;3.234771283
clang++;-O2;bitset;56;1024;g;99.62;3.271486662
clang++;-O2;bitset;57;1024;g;100.31;3.241794118
clang++;-O2;bitset;58;1024;g;100.42;3.254448990
clang++;-O2;bitset;59;1024;g;99.72;3.274656787
clang++;-O2;bitset;60;1024;g;99.83;3.239251817
clang++;-O2;bitset;61;1024;g;99.72;3.260302780
clang++;-O2;bitset;62;1024;g;100.16;3.274206385
clang++;-O2;bitset;63;1024;g;100.64;3.258584008
clang++;-O2;bitset;64;1024;g;101.18;3.253433682
clang++;-O2;bitset;65;1024;g;100.32;3.249679877
clang++;-O2;bitset;66;1024;g;100.08;3.257207145
clang++;-O2;bitset;67;1024;g;100.32;3.269477758
clang++;-O2;bitset;68;1024;g;102.15;3.255960996
clang++;-O2;bitset;69;1024;g;100.68;3.246107650
clang++;-O2;bitset;70;1024;g;99.88;3.246191036
clang++;-O2;bitset;71;1024;g;99.86;3.235113393
clang++;-O2;bitset;72;1024;g;99.81;3.268177858
clang++;-O2;bitset;73;1024;g;100.80;3.257448797
clang++;-O2;bitset;74;1024;g;99.88;3.278037967
clang++;-O2;bitset;75;1024;g;99.93;3.269112154
clang++;-O2;bitset;76;1024;g;100.80;3.268141972
clang++;-O2;bitset;77;1024;g;99.60;3.269211130
clang++;-O2;bitset;78;1024;g;100.40;3.268912472
clang++;-O2;bitset;79;1024;g;102.01;3.243921555
clang++;-O2;bitset;80;1024;g;100.22;3.235743190
clang++;-O2;bitset;81;1024;g;99.57;3.223848009
clang++;-O2;bitset;82;1024;g;99.90;3.224107444
clang++;-O2;bitset;83;1024;g;99.74;3.268378373
clang++;-O2;bitset;84;1024;g;100.65;3.256801466
clang++;-O2;bitset;85;1024;g;100.57;3.256324084
clang++;-O2;bitset;86;1024;g;100.05;3.272563495
clang++;-O2;bitset;87;1024;g;99.44;3.231066851
clang++;-O2;bitset;88;1024;g;100.88;3.257109733
clang++;-O2;bitset;89;1024;g;100.01;3.268228313
clang++;-O2;bitset;90;1024;g;100.42;3.246365783
clang++;-O2;bitset;91;1024;g;99.83;3.266987974
clang++;-O2;bitset;92;1024;g;100.07;3.245856511
clang++;-O2;bitset;93;1024;g;99.91;3.223556765
clang++;-O2;bitset;94;1024;g;100.39;3.246863384
clang++;-O2;bitset;95;1024;g;99.72;3.268024481
clang++;-O2;bitset;96;1024;g;101.36;3.290656690
clang++;-O2;bitset;97;1024;g;99.76;3.255113322
clang++;-O2;bitset;98;1024;g;100.36;3.246366926
clang++;-O2;bitset;99;1024;g;99.51;3.256688576
clang++;-O2;bitset;00;1024;h;122.25;3.934461219
clang++;-O2;bitset;01;1024;h;120.30;3.912121699
clang++;-O2;bitset;02;1024;h;121.29;3.940046760
clang++;-O2;bitset;03;1024;h;120.97;3.934708363
clang++;-O2;bitset;04;1024;h;121.21;3.933655415
clang++;-O2;bitset;05;1024;h;120.47;3.961489155
clang++;-O2;bitset;06;1024;h;120.09;3.945797348
clang++;-O2;bitset;07;1024;h;120.71;3.980960516
clang++;-O2;bitset;08;1024;h;121.48;3.940244560
clang++;-O2;bitset;09;1024;h;121.47;3.926566536
clang++;-O2;bitset;10;1024;h;123.34;3.937525217
clang++;-O2;bitset;11;1024;h;121.14;3.966944892
clang++;-O2;bitset;12;1024;h;121.32;3.973532614
clang++;-O2;bitset;13;1024;h;120.78;3.927351713
clang++;-O2;bitset;14;1024;h;120.80;3.925571897
clang++;-O2;bitset;15;1024;h;120.41;3.954669278
clang++;-O2;bitset;16;1024;h;120.41;3.952813050
clang++;-O2;bitset;17;1024;h;120.97;3.928336043
clang++;-O2;bitset;18;1024;h;120.62;3.916957096
clang++;-O2;bitset;19;1024;h;121.22;3.929520036
clang++;-O2;bitset;20;1024;h;120.34;3.942819302
clang++;-O2;bitset;21;1024;h;120.43;3.954510422
clang++;-O2;bitset;22;1024;h;121.58;3.940837708
clang++;-O2;bitset;23;1024;h;120.53;3.951273232
clang++;-O2;bitset;24;1024;h;120.58;3.951785840
clang++;-O2;bitset;25;1024;h;120.83;3.960158829
clang++;-O2;bitset;26;1024;h;121.24;3.933092804
clang++;-O2;bitset;27;1024;h;120.35;3.947044459
clang++;-O2;bitset;28;1024;h;121.35;3.930498134
clang++;-O2;bitset;29;1024;h;121.47;3.937620896
clang++;-O2;bitset;30;1024;h;121.06;3.929444935
clang++;-O2;bitset;31;1024;h;120.90;3.972855678
clang++;-O2;bitset;32;1024;h;120.66;3.954669389
clang++;-O2;bitset;33;1024;h;121.60;3.953574282
clang++;-O2;bitset;34;1024;h;120.97;3.971692024
clang++;-O2;bitset;35;1024;h;120.51;3.947390435
clang++;-O2;bitset;36;1024;h;122.33;3.958928189
clang++;-O2;bitset;37;1024;h;121.00;3.931885847
clang++;-O2;bitset;38;1024;h;120.74;3.924779767
clang++;-O2;bitset;39;1024;h;120.60;3.958707536
clang++;-O2;bitset;40;1024;h;121.50;3.955939893
clang++;-O2;bitset;41;1024;h;120.64;3.954233014
clang++;-O2;bitset;42;1024;h;121.38;3.944404685
clang++;-O2;bitset;43;1024;h;120.78;3.925393604
clang++;-O2;bitset;44;1024;h;119.97;3.941799476
clang++;-O2;bitset;45;1024;h;120.82;3.966287863
clang++;-O2;bitset;46;1024;h;120.03;3.937147872
clang++;-O2;bitset;47;1024;h;120.70;3.966018691
clang++;-O2;bitset;48;1024;h;121.08;3.932586788
clang++;-O2;bitset;49;1024;h;120.45;3.962326140
clang++;-O2;bitset;50;1024;h;120.76;3.932381564
clang++;-O2;bitset;51;1024;h;120.36;3.945633973
clang++;-O2;bitset;52;1024;h;120.67;3.919655940
clang++;-O2;bitset;53;1024;h;120.91;3.925620919
clang++;-O2;bitset;54;1024;h;121.00;3.924050834
clang++;-O2;bitset;55;1024;h;121.19;3.931070143
clang++;-O2;bitset;56;1024;h;121.20;3.928629672
clang++;-O2;bitset;57;1024;h;121.07;3.926838925
clang++;-O2;bitset;58;1024;h;121.70;3.952225602
clang++;-O2;bitset;59;1024;h;120.14;3.952399247
clang++;-O2;bitset;60;1024;h;120.25;3.936236459
clang++;-O2;bitset;61;1024;h;120.83;3.925319465
clang++;-O2;bitset;62;1024;h;121.43;3.938172136
clang++;-O2;bitset;63;1024;h;120.32;3.901629600
clang++;-O2;bitset;64;1024;h;120.30;3.919793367
clang++;-O2;bitset;65;1024;h;121.39;3.946460046
clang++;-O2;bitset;66;1024;h;120.79;3.917390807
clang++;-O2;bitset;67;1024;h;120.71;3.917028610
clang++;-O2;bitset;68;1024;h;121.39;3.936016618
clang++;-O2;bitset;69;1024;h;121.07;3.929475974
clang++;-O2;bitset;70;1024;h;120.62;3.920060076
clang++;-O2;bitset;71;1024;h;120.13;3.945262688
clang++;-O2;bitset;72;1024;h;120.30;3.943631059
clang++;-O2;bitset;73;1024;h;120.45;3.920986568
clang++;-O2;bitset;74;1024;h;120.63;3.908258038
clang++;-O2;bitset;75;1024;h;121.01;3.972661396
clang++;-O2;bitset;76;1024;h;121.12;3.937192696
clang++;-O2;bitset;77;1024;h;120.83;3.957310065
clang++;-O2;bitset;78;1024;h;120.81;3.917542791
clang++;-O2;bitset;79;1024;h;121.19;3.976043827
clang++;-O2;bitset;80;1024;h;121.14;3.933691533
clang++;-O2;bitset;81;1024;h;121.59;3.945175726
clang++;-O2;bitset;82;1024;h;121.43;3.942376034
clang++;-O2;bitset;83;1024;h;121.07;3.934291002
clang++;-O2;bitset;84;1024;h;121.44;3.936882296
clang++;-O2;bitset;85;1024;h;120.90;3.956666793
clang++;-O2;bitset;86;1024;h;121.27;3.933973189
clang++;-O2;bitset;87;1024;h;121.26;3.974084666
